together,[Movies;Books]
overdone,[Historical Events]
satelliting,[Music]
dishonorable,[Countries;Animals]
enrichment,[Sports;Famous People;Technology]
Kowloon,[Movies]
cleats,[Movies;Books]
conquistador,[Movies;Movies;Food & Drink]
Athenian,[Historical Events;Historical Events]
warranted,[Countries;Books]
auxiliaries,[Sports]
horizontal,[Books;Sports;Sports]
dieseling,[Movies;Famous People]
superegos,[Sports]
stratagem,[Books;Movies]
arachnid,[Countries]
survivor,[Countries]
registrants,[Movies;Technology]
Ethernet,[Countries]
sterility,[Books;Technology]
prescribing,[Countries;Books]
Natalie,[Food & Drink]
glorious,[Technology;Books]
face,[Movies]
reacting,[Technology;Animals]
again,[Food & Drink;Animals;Animals]
sidelines,[Animals;Books;Animals]
Lenora,[Food & Drink;Technology;Countries]
longevity,[Animals]
smile,[Movies;Historical Events;Books]
finitely,[Famous People]
homeopathic,[Sports;Historical Events]
sunglasses,[Sports]
angst,[Sports;Food & Drink;Food & Drink]
cadging,[Animals;Movies]
wiped,[Books]
shrives,[Movies;Sports]
passenger,[Technology;Movies]
excoriations,[Books;Countries]
winches,[Sports;Technology;Animals]
minefield,[Historical Events;Sports]
crosscheck,[Historical Events;Animals;Books]
operations,[Animals]
Sanskrit,[Famous People]
rout,[Animals;Technology;Famous People]
Sonny,[Famous People]
chronometers,[Movies;Famous People;Countries]
Algonquin,[Movies]
scraped,[Books]
compactness,[Music;Countries;Food & Drink]
foreshadow,[Famous People]
Sicily,[Technology;Music]
Luxembourg,[Books;Technology;Food & Drink]
referendum,[Movies;Famous People;Books]
rereading,[Technology;Food & Drink]
edited,[Sports]
petrified,[Sports;Historical Events]
poesy,[Music]
provocative,[Famous People;Famous People;Food & Drink]
indorsing,[Countries;Music;Food & Drink]
kneed,[Historical Events;Technology;Historical Events]
Honecker,[Technology;Countries;Historical Events]
Kwakiutl,[Movies]
encloses,[Books;Food & Drink]
flogging,[Sports;Countries]
touched,[Movies;Animals;Countries]
drivers,[Famous People]
Seinfeld,[Books]
Meredith,[Famous People]
dirty,[Countries;Famous People]
fossilized,[Food & Drink;Countries]
astrophysicist,[Technology;Historical Events;Books]
Talley,[Movies;Famous People;Historical Events]
overriding,[Technology;Historical Events]
Campbell,[Books]
nontransferable,[Sports;Sports]
pimply,[Sports;Food & Drink]
hoodie,[Sports;Animals]
Aeroflot,[Food & Drink]
pews,[Technology]
eh,[Famous People;Movies;Books]
